GAME,WEEK,DATE,DAY,AWAY,HOME,LOCAL,ET
84,15,Saturday,11-Mar-23,SD,SAS,7:30 PM,8:30 PM
85,15,Saturday,11-Mar-23,VAN,LV,7:30 PM,10:30 PM
86,15,Sunday,12-Mar-23,ROC,GA,4:00 PM,4:00 PM
87,16,Friday,17-Mar-23,SAS,CGY,7:00 PM,9:00 PM
88,16,Friday,17-Mar-23,SD,VAN,7:00 PM,10:00 PM
89,16,Saturday,18-Mar-23,GA,PHI,11:00 AM,11:00 AM
90,16,Saturday,18-Mar-23,TOR,HFX,7:00 PM,6:00 PM
91,16,Saturday,18-Mar-23,ALB,NY,7:30 PM,7:30 PM
92,16,Saturday,18-Mar-23,COL,BUF,7:30 PM,7:30 PM
93,16,Saturday,18-Mar-23,LV,PC,7:00 PM,8:00 PM
94,16,Sunday,19-Mar-23,PHI,ROC,3:00 PM,3:00 PM
95,17,Friday,24-Mar-23,SD,PC,7:30 PM,8:30 PM
96,17,Saturday,25-Mar-23,TOR,ALB,7:00 PM,7:00 PM
97,17,Saturday,25-Mar-23,HFX,PHI,7:00 PM,7:00 PM
98,17,Saturday,25-Mar-23,GA,NY,7:30 PM,7:30 PM
99,17,Saturday,25-Mar-23,CGY,SAS,7:30 PM,9:30 PM
100,17,Saturday,25-Mar-23,BUF,SD,7:00 PM,10:00 PM
101,17,Saturday,25-Mar-23,COL,VAN,7:00 PM,10:00 PM
102,17,Saturday,25-Mar-23,ROC,LV,7:30 PM,10:30 PM
103,18,Friday,31-Mar-23,NY,GA,7:00 PM,7:00 PM
104,18,Friday,31-Mar-23,LV,COL,7:00 PM,9:00 PM
105,18,Friday,31-Mar-23,CGY,SD,7:00 PM,10:00 PM
106,18,Saturday,1-Apr-23,BUF,TOR,7:00 PM,7:00 PM
107,18,Saturday,1-Apr-23,ALB,PC,7:00 PM,8:00 PM
108,18,Saturday,1-Apr-23,VAN,SAS,7:30 PM,9:30 PM
109,18,Sunday,2-Apr-23,GA,HFX,2:00 PM,1:00 PM
110,18,Sunday,2-Apr-23,ROC,PHI,6:00 PM,6:00 PM
111,19,Saturday,8-Apr-23,SAS,GA,7:00 PM,7:00 PM
112,19,Saturday,8-Apr-23,ALB,ROC,7:00 PM,7:00 PM
113,19,Saturday,8-Apr-23,PC,CGY,7:00 PM,9:00 PM
